%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-07-30-16:00:00,0.983333333333333
2013-08-05-11:00:00,2
2013-06-27-13:00:00,1
2013-09-30-14:00:00,1
2013-10-08-12:00:00,1.38333333333333
2014-01-15-13:00:00,3.75
2013-07-15-13:00:00,1
2013-07-19-08:00:00,1.58333333333333
2014-01-28-10:00:00,1.5
2013-10-14-17:00:00,3.06666666666667
2013-05-03-15:00:00,1.65
2013-09-26-11:00:00,2
2013-11-15-09:00:00,1.51666666666667
2013-06-05-15:00:00,1.1
2013-09-05-12:00:00,2.41666666666667
2013-11-21-17:00:00,1.53333333333333
2013-05-29-18:00:00,1.11666666666667
2013-05-10-16:00:00,1.43333333333333
2013-11-29-15:00:00,1.91666666666667
2013-12-09-15:00:00,2.18333333333333
2013-10-03-12:00:00,3.88333333333333
2013-09-27-12:00:00,1.93333333333333
2013-12-17-14:00:00,1.55
2014-01-10-08:00:00,0.433333333333333
2013-04-18-15:00:00,2.21666666666667
2013-10-15-07:00:00,1
2013-11-20-15:00:00,1.06666666666667
2013-07-08-11:00:00,2.21666666666667
2013-09-23-10:00:00,1.16666666666667
2013-12-04-16:00:00,2.86666666666667
2013-07-19-14:00:00,2
2013-08-05-09:00:00,2
2013-07-30-18:00:00,0.516666666666667
2014-01-15-15:00:00,3.38333333333333
2013-07-15-11:00:00,1
2013-08-31-20:00:00,0.65
2013-06-05-09:00:00,2
2013-05-09-16:00:00,1.1
2013-09-30-12:00:00,1.91666666666667
2013-11-15-15:00:00,3.11666666666667
2013-05-29-16:00:00,2.68333333333333
2013-07-10-12:00:00,2.58333333333333
2013-10-22-09:00:00,1
2013-08-27-14:00:00,3.66666666666667
2013-11-29-09:00:00,3.9
2013-09-05-18:00:00,0.883333333333333
2013-06-20-13:00:00,2.38333333333333
2013-12-09-13:00:00,2.91666666666667
2013-04-11-10:00:00,0.2
2013-10-03-10:00:00,3.81666666666667
2013-04-18-13:00:00,1.43333333333333
2013-06-17-09:00:00,1
2013-11-20-13:00:00,0.883333333333333
2013-07-24-14:00:00,4.55
2013-12-02-13:00:00,1.2
2013-05-11-12:00:00,0.116666666666667
2013-12-04-18:00:00,1.16666666666667
2014-01-15-09:00:00,2.21666666666667
2013-07-15-09:00:00,1
