"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"1052","8401774","Shillibeer Place","51"
"6489","8401774","Shillibeer Place","54"
"4231","8401774","Shillibeer Place","54"
"4757","8401774","Shillibeer Place","54"
"1063","8401775","Silver Place","75"
"4240","8401775","Silver Place","57"
"6494","8401775","Silver Place","57"
"927","8401776","St Anne's Court","75"
"4281","8401776","St Anne's Court","57"
"5097","8401776","St Anne's Court","57"
"2376","8401777","Hobhouse Court","57"
"3483","8401777","Hobhouse Court","57"
"6085","8401777","Hobhouse Court","57"
"85","8401778","St Luke's Yard","30"
"965","8401778","St Luke's Yard","30"
"4312","8401778","St Luke's Yard","30"
"6528","8401778","St Luke's Yard","30"
"968","8401779","St Martin's Court","57"
"4315","8401779","St Martin's Court","57"
"5241","8401779","St Martin's Court","57"
"1101","8401780","Stable Yard","47"
"4335","8401780","Stable Yard","47"
"6540","8401780","Stable Yard","47"
"1109","8401781","Standbrook Court","47"
"4342","8401781","Standbrook Court","47"
"6545","8401781","Standbrook Court","47"
"1129","8401782","Strand Lane","75"
"4358","8401782","Strand Lane","57"
"6557","8401782","Strand Lane","57"
"4364","8401783","Studio Place","3"
"6561","8401783","Studio Place","3"
"4389","8401784","Swallow Passage","47"
"6568","8401784","Swallow Passage","47"
"4400","8401785","Tarrant Place","51"
"6574","8401785","Tarrant Place","51"
"1179","8401786","Tenison Court","75"
"4410","8401786","Tenison Court","57"
"6580","8401786","Tenison Court","57"
"1199","8401787","Three Kings Yard","47"
"4435","8401787","Three Kings Yard","47"
"6594","8401787","Three Kings Yard","47"
"1228","8401788","Tweezer's Alley","57"
"6608","8401788","Tweezer's Alley","57"
"4457","8401788","Tweezer's Alley","57"
"1234","8401789","Union Yard","47"
"4462","8401789","Union Yard","47"
"6610","8401789","Union Yard","47"
"1251","8401790","Vandon Passage","41"
"1252","8401790","Vandon Passage","63"
"4476","8401790","Vandon Passage","42"
"6616","8401790","Vandon Passage","42"
"1273","8401791","Victoria Passage","15"
"4488","8401791","Victoria Passage","12"
"6624","8401791","Victoria Passage","12"
"1292","8401792","Virgil Place","51"
"6629","8401792","Virgil Place","51"
"4501","8401792","Virgil Place","51"
"1295","8401793","Walker's Court","75"
"6631","8401793","Walker's Court","57"
"4503","8401793","Walker's Court","57"
"1297","8401794","Walmer Place","51"
"4504","8401794","Walmer Place","51"
"6632","8401794","Walmer Place","51"
"1299","8401795","Walpole Mews","29"
"1642","8401795","Walpole Mews","29"
"4506","8401795","Walpole Mews","29"
"6634","8401795","Walpole Mews","29"
"2152","8401796","George Court","57"
"3290","8401796","George Court","57"
"5975","8401796","George Court","57"
"6681","8401798","Wilcox Place","42"
"4603","8401798","Wilcox Place","42"
"1437","8401799","Windsor Place","40"
"6694","8401799","Windsor Place","42"
"4623","8401799","Windsor Place","42"
"1438","8401799","Windsor Place","63"
